﻿FROM_ID,TO_ID,DURATION_H,DIST_KM
13,29,0.414508333,21.95324
13,30,1.065283333,67.93272
13,33,1.088652778,37.60577
13,34,0.859494444,58.0777
13,36,1.639861111,96.61323
13,37,1.916544444,104.91375
13,38,1.050877778,59.30057
13,40,0.765702778,48.77218
13,41,1.780694444,91.37752
13,43,1.075863889,31.5636
13,44,1.468830556,71.84116
13,48,1.180183333,54.40779
13,49,0.426536111,12.7961
13,50,0.545583333,33.78816
13,52,1.458111111,90.99539
13,54,1.064605556,32.58875
13,55,1.24275,69.16376
13,56,1.325202778,60.42292
13,58,0.991125,60.15889
13,60,1.303655556,66.51154
13,61,1.62055,75.78455
13,63,0.577183333,20.92409
13,64,0.441419444,21.28635
13,65,0.895752778,65.13638
13,66,0.942919444,50.81113
13,70,0.841486111,48.95748
13,71,0.440680556,14.08022
13,74,1.109644444,79.46796
13,76,0.847658333,57.41955
13,77,0.907538889,66.56122
13,78,0.187730556,9.24049
13,79,0.6491,43.30093
13,82,0.750452778,45.82194
13,83,0.368966667,24.12537
13,84,0.757638889,45.6277
13,85,1.074669444,68.99136
13,86,1.143125,72.25045
13,87,0.210825,10.64133
13,89,0.932827778,55.38663
13,100,0.766466667,53.86466
14,0,1.595844444,90.15494
14,4,0.536772222,35.59721
14,5,1.206991667,87.43859
14,8,0.571447222,24.30698
14,9,1.227063889,87.8249
14,10,0.741858333,32.6402
14,11,0.645986111,35.40231
14,12,1.346811111,63.78131
14,13,0.938966667,58.156
14,14,0,0
14,15,1.516683333,85.0699
14,16,1.162030556,86.87154
14,18,1.537869444,82.39651
14,22,0.457533333,24.52749
14,23,0.939644444,62.87448
14,25,1.242527778,59.21918
14,26,1.049344444,67.14844
14,27,0.758294444,51.88012
14,28,0.257308333,14.1522
14,29,0.792461111,44.24281
14,30,0.828788889,46.25819
14,33,1.510675,94.36641
14,34,0.408430556,14.38454
14,36,1.403369444,74.9387
14,37,1.68005,83.23921
14,38,0.435491667,13.73389
14,40,0.480536111,17.94021
14,41,1.5442,69.70298
14,43,1.110863889,64.02807
14,44,0.871666667,26.74866
14,48,0.979616667,75.45431
14,49,1.198186111,62.90646
14,50,0.561194444,28.19025
14,52,1.25305,74.94538
14,54,1.312280556,75.68701
14,55,0.303794444,11.00833
14,56,1.124636111,81.46945
14,58,0.947722222,54.22137
